time_s,RequestScannerOn [unary],RecordScannerOn [unary],Periodicity [arbitrary unit],Phase [degree],Left-Right [millimeter],Ant.-Post. [millimeter],Head-Feet [millimeter],MarkerBlockFound [unary]
32.8,0.0,1.0000000002165,0.1602063052095,6.0075775655740005,-2.5909088059195,151.84690841752,603.0194662820401,-1.0
32.84,0.0,1.0000000002165,0.16047834154673998,6.073277649436,-2.583137861305,151.61980482374,603.1364443029901,-1.0
32.88,0.0,1.0000000002165,0.16300879275917998,6.133327142995,-2.5778996690093,151.53633401604,603.68791211604,-1.0
32.92,0.0,1.0000000002165,0.16424578817945998,6.197111772517,-2.571049725238,151.36277773286,603.87507694956,-1.0
32.96,0.0,1.0000000002165,0.1577425798911,6.260513311171,-2.5708194750272,151.20024589598,604.15248197067,-1.0
33.0,0.0,1.0000000002165,0.16091462623854,0.036723296925999994,-2.5649480946518,150.84336882004,603.7413877827601,-1.0
33.04,0.0,1.0000000002165,0.16634508746117999,0.102423380788,-2.5690925984462,150.45688323118,603.29352907398,-1.0
33.08,0.0,1.0000000002165,0.1656470319543,0.162951737932,-2.5633939057289,150.07197256322002,602.83898590686,-1.0
33.12,0.0,1.0000000002165,0.16333728946829998,0.22683214017099998,-2.5567742121684,149.76013822502,602.6117143233,-1.0
33.16,0.0,1.0000000002165,0.163606759425,0.290137906108,-2.5418655110191,149.417120453,602.2741491771301,-1.0
33.2,0.0,1.0000000002165,0.16580871392832,0.349325445214,-2.5378936948828,149.09898643120002,602.00342861436,-1.0
33.24,0.0,1.0000000002165,0.16028329662569998,0.413205847453,-2.5322525647182,148.81896549518,601.9098461976,-1.0
33.28,0.0,1.0000000002165,0.15250972997004,0.473925750031,-2.5332886906668,148.52477027106002,601.68257461404,-1.0
33.32,0.0,1.0000000002165,0.1408814597433,0.537614606836,-2.5316769391912,148.33325988962,601.8964772809201,-1.0
33.36,0.0,1.0000000002165,0.13408311769283998,0.603506236132,-2.5187253648337,148.4375196532,601.81292155167,-1.0
33.4,0.0,1.0000000002165,0.12150528666629999,0.664417684144,-2.5391600710422,148.9084210023,601.01412878004,-1.0
33.44,0.0,1.0000000002165,0.12628645361232,0.731841676912,-2.5420957612299,149.60044124576,600.78017273814,-1.0
