time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
4.64,0.0,0.0,43722.0,11254.0,1772.0,17667.0,65317.0,0.0
4.68,0.0,0.0,41965.0,11918.0,1939.0,19789.0,65420.0,0.0
4.72,0.0,0.0,42966.0,12563.0,3361.0,21915.0,65488.0,0.0
4.76,0.0,0.0,45854.0,13236.0,3400.0,23824.0,65490.0,0.0
4.8,0.0,0.0,47288.0,13885.0,3220.0,25741.0,65505.0,0.0
4.84,0.0,0.0,47417.0,14543.0,2548.0,27404.0,65426.0,0.0
4.88,0.0,0.0,46241.0,15204.0,1461.0,29074.0,65379.0,0.0
4.92,0.0,0.0,43472.0,15848.0,726.0,30972.0,65362.0,0.0
4.96,0.0,0.0,42878.0,16518.0,742.0,33120.0,65411.0,0.0
5.0,0.0,0.0,43297.0,17164.0,1436.0,35168.0,65417.0,0.0
5.04,0.0,0.0,44296.0,17821.0,2172.0,37238.0,65414.0,0.0
5.08,0.0,0.0,43846.0,18467.0,2580.0,39278.0,65431.0,0.0
5.12,0.0,0.0,44988.0,19110.0,2531.0,41338.0,65458.0,0.0
5.16,0.0,0.0,39478.0,19776.0,2479.0,43229.0,65459.0,0.0
5.2,0.0,0.0,40332.0,20422.0,2327.0,45052.0,65450.0,0.0
5.24,0.0,0.0,42919.0,21074.0,1961.0,46633.0,65385.0,0.0
5.28,0.0,0.0,43482.0,21755.0,1663.0,48327.0,65388.0,0.0
5.32,0.0,0.0,46500.0,22393.0,1190.0,49699.0,65289.0,0.0
5.36,0.0,0.0,47927.0,23057.0,1076.0,51136.0,65240.0,0.0
5.4,0.0,0.0,47911.0,23707.0,807.0,52586.0,65211.0,0.0
5.44,0.0,0.0,51934.0,24361.0,1110.0,53951.0,65170.0,0.0
5.48,0.0,0.0,53070.0,25028.0,1607.0,55176.0,65110.0,0.0
5.52,0.0,0.0,53196.0,25668.0,1713.0,56320.0,65060.0,0.0
5.56,0.0,0.0,52889.0,26339.0,1716.0,57721.0,65121.0,0.0
5.6,0.0,0.0,56329.0,26988.0,1633.0,58766.0,65101.0,0.0
5.64,0.0,0.0,57893.0,27642.0,1550.0,59669.0,65076.0,0.0
5.68,0.0,0.0,57874.0,28307.0,1605.0,60562.0,65082.0,0.0
5.72,0.0,0.0,59293.0,28949.0,1550.0,61420.0,65110.0,0.0
5.76,0.0,0.0,60280.0,29618.0,1563.0,62357.0,65205.0,0.0
5.8,0.0,0.0,59252.0,30268.0,1547.0,63013.0,65227.0,0.0
5.84,0.0,0.0,58945.0,30922.0,1469.0,63218.0,65166.0,0.0
5.88,0.0,0.0,60074.0,31587.0,1343.0,63505.0,65170.0,0.0
5.92,0.0,0.0,60341.0,32229.0,1280.0,63676.0,65174.0,0.0
5.96,0.0,0.0,59028.0,32897.0,1200.0,63551.0,65131.0,0.0
6.0,0.0,0.0,58721.0,33546.0,1140.0,63498.0,65133.0,0.0
6.04,0.0,0.0,59849.0,34199.0,1087.0,63234.0,65127.0,0.0
6.08,0.0,0.0,58968.0,34848.0,1196.0,62938.0,65132.0,0.0
6.12,0.0,0.0,58230.0,35490.0,1323.0,62672.0,65189.0,0.0
6.16,0.0,0.0,58497.0,36157.0,1318.0,62087.0,65189.0,0.0
6.2,0.0,0.0,57904.0,36806.0,1447.0,61631.0,65251.0,0.0
6.24,0.0,0.0,56022.0,37458.0,1466.0,60688.0,65210.0,0.0
6.28,0.0,0.0,55859.0,38139.0,1560.0,59586.0,65149.0,0.0
6.32,0.0,0.0,54122.0,38781.0,1516.0,58309.0,65079.0,0.0
6.36,0.0,0.0,53531.0,39449.0,1533.0,57182.0,65091.0,0.0
6.4,0.0,0.0,51510.0,40094.0,1603.0,56331.0,65207.0,0.0
6.44,0.0,0.0,48489.0,40746.0,1527.0,55194.0,65269.0,0.0
6.48,0.0,0.0,50474.0,41409.0,826.0,53678.0,65236.0,0.0
6.52,0.0,0.0,49027.0,42051.0,647.0,52335.0,65307.0,0.0
6.56,0.0,0.0,47725.0,42718.0,919.0,50892.0,65339.0,0.0
6.6,0.0,0.0,45709.0,43368.0,1077.0,49370.0,65375.0,0.0
6.64,0.0,0.0,44694.0,44024.0,1401.0,47714.0,65393.0,0.0
6.68,0.0,0.0,42537.0,44689.0,1908.0,46006.0,65393.0,0.0
6.72,0.0,0.0,40953.0,45338.0,2263.0,44140.0,65386.0,0.0
6.76,0.0,0.0,53920.0,46006.0,2322.0,42270.0,65375.0,0.0
6.8,0.0,0.0,64882.0,46658.0,2449.0,40338.0,65379.0,0.0
6.84,0.0,0.0,63862.0,47313.0,2417.0,38529.0,65418.0,0.0
6.88,0.0,0.0,63556.0,47977.0,1823.0,36237.0,65330.0,0.0
6.92,0.0,0.0,63392.0,48625.0,956.0,34039.0,65297.0,0.0
6.96,0.0,0.0,62801.0,49290.0,695.0,32073.0,65309.0,0.0
7.0,0.0,0.0,60786.0,49945.0,940.0,30082.0,65308.0,0.0
7.04,0.0,0.0,60054.0,50602.0,1090.0,28030.0,65271.0,0.0
7.08,0.0,0.0,60887.0,51250.0,1713.0,26076.0,65263.0,0.0
7.12,0.0,0.0,60725.0,51903.0,2528.0,24179.0,65259.0,0.0
7.16,0.0,0.0,52601.0,52567.0,2760.0,22321.0,65262.0,0.0
7.2,0.0,0.0,40361.0,53220.0,2578.0,20433.0,65268.0,0.0
7.24,0.0,0.0,41768.0,53874.0,1813.0,18499.0,65237.0,0.0
7.28,0.0,0.0,42606.0,54555.0,727.0,16630.0,65221.0,0.0
7.32,0.0,0.0,43444.0,55211.0,187.0,15036.0,65257.0,0.0
7.36,0.0,0.0,47119.0,55872.0,0.0,13395.0,65249.0,0.0
7.4,0.0,0.0,47529.0,56526.0,14.0,11807.0,65252.0,0.0
7.44,0.0,0.0,51342.0,57181.0,208.0,10202.0,65206.0,0.0
7.48,0.0,0.0,49198.0,57843.0,330.0,8778.0,65199.0,0.0
7.52,0.0,0.0,47764.0,58495.0,382.0,7419.0,65179.0,0.0
7.56,0.0,0.0,48315.0,59157.0,346.0,5887.0,65076.0,0.0
7.6,0.0,0.0,51556.0,59813.0,614.0,4830.0,65093.0,0.0
7.64,0.0,0.0,52530.0,60465.0,1207.0,4129.0,65181.0,0.0
7.68,0.0,0.0,52229.0,61128.0,1532.0,3232.0,65171.0,0.0
7.72,0.0,0.0,54475.0,61779.0,1472.0,2586.0,65202.0,0.0
7.76,0.0,0.0,55730.0,62438.0,1449.0,1907.0,65191.0,0.0
7.8,0.0,0.0,55146.0,63093.0,1366.0,1286.0,65167.0,0.0
7.84,0.0,0.0,54845.0,63745.0,1277.0,1200.0,65271.0,0.0
7.88,0.0,0.0,56239.0,64407.0,1158.0,955.0,65288.0,0.0
7.92,0.0,0.0,56927.0,65057.0,1113.0,829.0,65288.0,0.0
7.96,0.0,0.0,55778.0,145.0,1049.0,653.0,65246.0,0.0
8.0,0.0,0.0,56747.0,800.0,1383.0,521.0,65171.0,0.0
8.04,0.0,0.0,57716.0,1451.0,2230.0,828.0,65186.0,0.0
8.08,0.0,0.0,57415.0,2097.0,2509.0,1160.0,65197.0,0.0
8.12,0.0,0.0,56972.0,2747.0,2538.0,1701.0,65214.0,0.0
8.16,0.0,0.0,58363.0,3405.0,2350.0,2091.0,65159.0,0.0
8.2,0.0,0.0,58766.0,4060.0,2202.0,2666.0,65118.0,0.0
8.24,0.0,0.0,57338.0,4710.0,2441.0,3454.0,65109.0,0.0
8.28,0.0,0.0,54643.0,5388.0,3024.0,4562.0,65180.0,0.0
8.32,0.0,0.0,53780.0,6038.0,2849.0,5464.0,65148.0,0.0
8.36,0.0,0.0,53762.0,6697.0,1732.0,6478.0,65143.0,0.0
8.4,0.0,0.0,52900.0,7353.0,978.0,7782.0,65169.0,0.0
8.44,0.0,0.0,49366.0,8003.0,624.0,9005.0,65133.0,0.0
