time_s,RequestScannerOn [unary],RecordScannerOn [unary],Periodicity [arbitrary unit],Phase [degree],Left-Right [millimeter],Ant.-Post. [millimeter],Head-Feet [millimeter],MarkerBlockFound [unary]
4.4,0.0,0.0,0.12491446356311998,0.6997379441620001,-2.8217870053259,149.7812310942,658.66136792019,-1.0
4.44,0.0,0.0,0.11691520252271999,0.7628840744335,-2.8459308859044,150.17053292455998,658.54483335923,-1.0
4.48,0.0,0.0,0.12240652288031999,0.8265093103975001,-2.8654904853604,150.600962609579,658.4501490284499,-1.0
4.52,0.0,0.0,0.11925436236335998,0.8881223024530001,-2.8648181241291,151.09135733459698,658.5266248340799,-1.0
4.56,0.0,0.0,0.1161022018464,0.9527057498020001,-2.8700136427346004,151.600903198044,658.53026653911,-1.0
4.6,0.0,0.0,0.10846189724495998,1.0147020264115,-2.8401852535642003,152.20494894127998,658.84709487672,-1.0
4.64,0.0,0.0,0.10393571804111999,1.077848156683,-2.7701374380124,152.87900622336298,659.18577344451,-1.0
4.68,0.0,0.0,0.0997589864964,1.1414733926470002,-2.7599297720463003,153.545214678221,659.5608690626,-1.0
4.72,0.0,0.0,0.10213855865136,1.2032780269795,-2.6730118019637,154.212678945435,659.80850500464,-1.0
4.76,0.0,0.0,0.10900389769583999,1.2677656531900001,-2.67062797578,154.81201539233598,659.8157884147,-1.0
4.8,0.0,0.0,0.11241279526847998,1.3299535720765001,-2.6816302504740004,155.41386346394899,659.8704139901499,-1.0
4.84,0.0,0.0,0.11271945341831999,1.3930038812095,-2.7227054093316,155.93596745095599,659.58271929278,-1.0
4.88,0.0,0.0,0.10992387214536,1.456341653758,-2.7891469237337003,156.460269109586,659.41155915637,-1.0
4.92,0.0,0.0,0.10334141930112,1.518050466952,-2.8340728787342,157.05615207250798,659.34965017086,-1.0
4.96,0.0,0.0,0.10192936549487999,1.582250629747,-2.8330948987614,157.73052330768,659.52809371733,-1.0
5.0,0.0,0.0,0.10292541018311999,1.6441510852180001,-2.7906750174412003,158.37349923395197,659.54994394751,-1.0
5.04,0.0,0.0,0.10530022794815999,1.7071055732125002,-2.7456879386924,159.023382128182,659.53901883242,-1.0
5.08,0.0,0.0,0.10423049021615999,1.7690060286835,-2.720749449386,159.663846429742,659.6009278179299,-1.0
5.12,0.0,0.0,0.10694524686047999,1.830619020739,-2.7237445130527003,160.310589793082,659.69925385374,-1.0
5.16,0.0,0.0,0.09384690263088,1.89443589898,-2.7269229479643,160.904275084381,659.70289555877,-1.0
5.2,0.0,0.0,0.09587702712671999,1.9563363544510002,-2.7362137577059,161.476611565628,659.6701202135,-1.0
5.24,0.0,0.0,0.10202683048823999,2.0188117367530003,-2.7585850495837003,161.97297139933698,659.43340938655,-1.0
5.28,0.0,0.0,0.10336519125072,2.0840659320715003,-2.7767999265771004,162.50480793210298,659.44433450164,-1.0
5.32,0.0,0.0,0.11053956563999999,2.1451998184345,-2.805711459523,162.93555157021098,659.08380570367,-1.0
5.36,0.0,0.0,0.11393182284791999,2.2088250543985,-2.8126795668292,163.38670215910398,658.9053621572,-1.0
5.4,0.0,0.0,0.11389378772855999,2.2711087944235,-2.8291218551219,163.841934138154,658.79975271133,-1.0
5.44,0.0,0.0,0.12345724305263998,2.3337758190025,-2.8106013593870003,164.27048010463898,658.6504428050999,-1.0
5.48,0.0,0.0,0.1261577365272,2.397688518382,-2.7802228564819003,164.655072638664,658.4319405033,-1.0
5.52,0.0,0.0,0.12645726309216,2.4590140470220003,-2.7737437391621,165.01423497247998,658.2498552518,-1.0
5.56,0.0,0.0,0.12572746423943998,2.5233100309555003,-2.7735603679172,165.454083250169,658.4719992586299,-1.0
5.6,0.0,0.0,0.13390501490183998,2.5854979498420003,-2.7786336390261,165.782164228174,658.39916515803,-1.0
5.64,0.0,0.0,0.13762294781928,2.6481649744210003,-2.7837069101350003,166.065663867541,658.30812253228,-1.0
5.68,0.0,0.0,0.13757778111504,2.7118860315235,-2.7803451039785,166.346023976018,658.32997276246,-1.0
5.72,0.0,0.0,0.14095102076327998,2.7734032024405,-2.7837069101350003,166.61539572637997,658.4319405033,-1.0
5.76,0.0,0.0,0.14329731218879999,2.8375075440970003,-2.7829123014071,166.90956977077298,658.77790248115,-1.0
5.8,0.0,0.0,0.14085355576991998,2.899791284122,-2.7838902813799002,167.11552299715697,658.85801999181,-1.0
5.84,0.0,0.0,0.1401237569172,2.962458308701,-2.7886579337473,167.17988338040198,658.63587598498,-1.0
5.88,0.0,0.0,0.14280761002703998,3.0261793658035003,-2.7963595260331,167.26998791694498,658.6504428050999,-1.0
5.92,0.0,0.0,0.14344232108135999,3.0876965367205003,-2.8002103221760004,167.32367389516398,658.66500962522,-1.0
5.96,0.0,0.0,0.14032106409887998,3.1517050572385004,-2.80510022204,167.28442975903897,658.50841630893,-1.0
6.0,0.0,0.0,0.13959126524616,3.2138929761250004,-2.808767646938,167.26779024532198,658.5156997189899,-1.0
6.04,0.0,0.0,0.14227274116104,3.2764641795655,-2.8120072055979,167.18490662982597,658.4938494888099,-1.0
6.08,0.0,0.0,0.14017843240128,3.338652098452,-2.8053447170332,167.09197651548197,658.51205801396,-1.0
6.12,0.0,0.0,0.1384240625208,3.4001692693690004,-2.7975820009991,167.008464993808,658.7196352006699,-1.0
6.16,0.0,0.0,0.13905877357511998,3.4640819687485003,-2.7978876197406004,166.82480243674297,658.7196352006699,-1.0
6.2,0.0,0.0,0.13764909696383998,3.5262698876350003,-2.7900026562099,166.68163982815898,658.9454209125299,-1.0
6.24,0.0,0.0,0.13317521604912,3.588745269937,-2.7888413049922,166.38558206523197,658.7961110063,-1.0
6.28,0.0,0.0,0.13278773327064,3.6539994652555,-2.783095672652,166.03960576115398,658.57396699947,-1.0
6.32,0.0,0.0,0.12865854562512,3.7155166361725,-2.7857851175772,165.63868766650097,658.31904764737,-1.0
6.36,0.0,0.0,0.12725362340375998,3.7795251566905,-2.7847460138561,165.284862535198,658.36274810773,-1.0
6.4,0.0,0.0,0.1224493123896,3.8413297910230004,-2.7804673514751004,165.01768845645898,658.78518589121,-1.0
6.44,0.0,0.0,0.11526780641543999,3.9038051733250003,-2.7851127563459004,164.66072379426598,659.01097160307,-1.0
6.48,0.0,0.0,0.11998653841103998,3.9673345881505004,-2.8279605039042,164.18477091134199,658.89079533708,-1.0
6.52,0.0,0.0,0.11654673730391998,4.0288517590675,-2.8389016548499,163.76313191281497,659.1493563942099,-1.0
6.56,0.0,0.0,0.11345162946599999,4.092764458447,-2.8222759953123,163.310097605388,659.26589095517,-1.0
6.6,0.0,0.0,0.10865920442664,4.1550481984720005,-2.8126184430809,162.83226100392997,659.3969923362499,-1.0
6.64,0.0,0.0,0.10624635154223999,4.2179068653280005,-2.7928143486317003,162.31235468854598,659.46254302679,-1.0
6.68,0.0,0.0,0.10111874201351999,4.2816279224305,-2.7618246082436,161.776122812534,659.46254302679,-1.0
6.72,0.0,0.0,0.09735326519687999,4.343815841317,-2.7401256775971,161.19028634845998,659.43705109158,-1.0
6.76,0.0,0.0,0.12817835224319998,4.407824361835,-2.7365193764474003,160.60319407203,659.3969923362499,-1.0
6.8,0.0,0.0,0.15423716339472,4.470299744137001,-2.7287566604133002,159.996636704082,659.41155915637,-1.0
6.84,0.0,0.0,0.15181242453552,4.5330625898545005,-2.7307126203589003,159.428695566081,659.55358565254,-1.0
6.88,0.0,0.0,0.15108500287776,4.5966878258185,-2.7670201268491,158.709115086093,659.2331156099,-1.0
6.92,0.0,0.0,0.15069514290431998,4.658779923566501,-2.8200144166252,158.01904619647098,659.1129393439099,-1.0
6.96,0.0,0.0,0.14929022068296,4.722500980669,-2.8359677149315003,157.40181442349697,659.15663980427,-1.0
7.0,0.0,0.0,0.14450017283855998,4.7852638263865,-2.820992396598,156.77673382329797,659.15299809924,-1.0
7.04,0.0,0.0,0.14276006612783998,4.8482183143810005,-2.811823834353,156.13250208467,659.01825501313,-1.0
7.08,0.0,0.0,0.14474026952952,4.910310412129,-2.7737437391621,155.519037748764,658.9891213728899,-1.0
7.12,0.0,0.0,0.14435516394599998,4.9728816155695,-2.7239278842976002,154.92346873893098,658.97455455277,-1.0
7.16,0.0,0.0,0.12504283209095998,5.036506851533501,-2.709747174692,154.340143899569,658.98547966786,-1.0
7.2,0.0,0.0,0.09594596578055999,5.099078054974,-2.7208716968826003,153.74740046753698,659.00732989804,-1.0
7.24,0.0,0.0,0.09929067908927999,5.161745079553,-2.7676313643321,153.140215193411,658.89443704211,-1.0
7.28,0.0,0.0,0.10128276846576,5.2269992748715,-2.8340117549859003,152.55343687007,658.83616976163,-1.0
7.32,0.0,0.0,0.10327485784224,5.2898579417275,-2.8670185790679,152.05299564620398,658.9672711427099,-1.0
7.36,0.0,0.0,0.11201104932023999,5.3531957142760005,-2.87844872,151.53779862715498,658.93813750247,-1.0
7.4,0.0,0.0,0.11298569925383999,5.415862738855,-2.8775929875238,151.03924112182298,658.94906261756,-1.0
7.44,0.0,0.0,0.12204994363631999,5.478625584572501,-2.8657349803536003,150.53534641397798,658.78154418618,-1.0
7.48,0.0,0.0,0.11695323764207999,5.542059178259501,-2.858277883061,150.088277215242,658.75605225097,-1.0
7.52,0.0,0.0,0.11354434006943999,5.6045345605615005,-2.8550994481494003,149.66161496729097,658.68321815037,-1.0
7.56,0.0,0.0,0.11485417449239999,5.6679681542485,-2.8572999030882,149.18063883494298,658.30812253228,-1.0
7.6,0.0,0.0,0.12255866335775999,5.7308268211045,-2.8409187385438,148.84879041987,658.37003151779,-1.0
7.64,0.0,0.0,0.1248740512488,5.7933022034065,-2.8046723558019,148.628709304481,658.69050156043,-1.0
7.68,0.0,0.0,0.12415851556583998,5.856831618232,-2.7848071376044,148.34709338364797,658.65408451013,-1.0
7.72,0.0,0.0,0.12949769544599998,5.9192111793955,-2.7884745625024,148.14427968815397,658.76697736606,-1.0
7.76,0.0,0.0,0.13248107512079998,5.982357309667,-2.7898804087133002,147.931105540723,658.72691861073,-1.0
7.8,0.0,0.0,0.13109279326415998,6.045120155384501,-2.7949536798222003,147.73614067245398,658.63951769001,-1.0
7.84,0.0,0.0,0.1303772575812,6.1075955376865005,-2.8003936934209004,147.70914070679999,659.01825501313,-1.0
7.88,0.0,0.0,0.13369106735543998,6.1710291313735,-2.8076674194686,147.632222199995,659.08016399864,-1.0
7.92,0.0,0.0,0.13532657748791999,6.233312871398501,-2.8104179881421003,147.592664110781,659.08016399864,-1.0
7.96,0.0,0.0,0.13259518047888,0.0133711290865,-2.8143299080333,147.537408367117,658.92721238738,-1.0
8.0,0.0,0.0,0.13489868239511998,0.076133974804,-2.7939145761011,147.49596655936898,658.65408451013,-1.0
8.04,0.0,0.0,0.13720218431136,0.1385135359675,-2.7421427612910003,147.59235015769198,658.7087100855799,-1.0
8.08,0.0,0.0,0.1364866486284,0.2004139914385,-2.7250892355153002,147.69658258323997,658.74876884091,-1.0
8.12,0.0,0.0,0.13543355126112,0.2626977314635,-2.7233166468146,147.866431204389,658.81067782642,-1.0
8.16,0.0,0.0,0.13874022945047998,0.32574804059650003,-2.7348079114950004,147.98887290909897,658.61038404977,-1.0
8.2,0.0,0.0,0.13969823901936,0.388510886314,-2.7438542262434003,148.169395935274,658.4610741435399,-1.0
8.24,0.0,0.0,0.13630360461648,0.450794626339,-2.7292456503997,148.41679096940598,658.42829879827,-1.0
8.28,0.0,0.0,0.12989706419928,0.5157613582420001,-2.6936105051408004,148.76465099201798,658.6868598553999,-1.0
8.32,0.0,0.0,0.1278455449488,0.5780450982670001,-2.7043071610933,149.047836678296,658.57032529444,-1.0
8.36,0.0,0.0,0.12780275543952,0.6411912285385001,-2.7725823879444,149.36618511054198,658.55211676929,-1.0
8.4,0.0,0.0,0.12575361338399998,0.7040498953945001,-2.8186696941626,149.77557993859799,658.64680110007,-1.0
