time_s,RequestScannerOn_raw,RecordScannerOn_raw,Periodicity_raw,Phase_raw,Left-Right_raw,Ant.-Post._raw,Head-Feet_raw,MarkerBlockFound_raw
4.0,0.0,0.0,64315.0,36427.0,577.0,61246.0,64488.0,0.0
4.04,0.0,0.0,62861.0,37088.0,629.0,61359.0,64511.0,0.0
4.08,0.0,0.0,64232.0,37731.0,560.0,61716.0,64629.0,0.0
4.12,0.0,0.0,64190.0,38389.0,583.0,61622.0,64600.0,0.0
4.16,0.0,0.0,62269.0,39053.0,623.0,61441.0,64544.0,0.0
4.2,0.0,0.0,61290.0,39692.0,489.0,61270.0,64507.0,0.0
4.24,0.0,0.0,62893.0,40353.0,263.0,61036.0,64436.0,0.0
4.28,0.0,0.0,61914.0,40995.0,288.0,60764.0,64368.0,0.0
4.32,0.0,0.0,60468.0,41670.0,248.0,59766.0,64056.0,0.0
4.36,0.0,0.0,61601.0,42338.0,425.0,59499.0,64035.0,0.0
4.4,0.0,0.0,61561.0,42988.0,609.0,59325.0,64055.0,0.0
4.44,0.0,0.0,59650.0,43633.0,777.0,59727.0,64276.0,0.0
4.48,0.0,0.0,58443.0,44271.0,903.0,59805.0,64413.0,0.0
4.52,0.0,0.0,58873.0,44933.0,821.0,59495.0,64448.0,0.0
4.56,0.0,0.0,56034.0,45583.0,778.0,59334.0,64603.0,0.0
4.6,0.0,0.0,53665.0,46224.0,741.0,58593.0,64588.0,0.0
4.64,0.0,0.0,51532.0,46902.0,713.0,56842.0,64229.0,0.0
4.68,0.0,0.0,51499.0,47539.0,892.0,56162.0,64337.0,0.0
4.72,0.0,0.0,48438.0,48209.0,884.0,55464.0,64474.0,0.0
4.76,0.0,0.0,47244.0,48870.0,491.0,54387.0,64530.0,0.0
4.8,0.0,0.0,46516.0,49511.0,460.0,52501.0,64379.0,0.0
4.84,0.0,0.0,45557.0,50191.0,503.0,50828.0,64384.0,0.0
4.88,0.0,0.0,43205.0,50841.0,762.0,49271.0,64497.0,0.0
4.92,0.0,0.0,39231.0,51490.0,938.0,47831.0,64662.0,0.0
4.96,0.0,0.0,38278.0,52116.0,860.0,47264.0,65215.0,0.0
5.0,0.0,0.0,34544.0,52757.0,1220.0,45401.0,65329.0,0.0
5.04,0.0,0.0,30815.0,53443.0,1369.0,41940.0,64973.0,0.0
5.08,0.0,0.0,26859.0,54023.0,1516.0,37621.0,64431.0,0.0
5.12,0.0,0.0,25685.0,54677.0,1256.0,35589.0,64747.0,0.0
5.16,0.0,0.0,24282.0,55329.0,1185.0,32563.0,64683.0,0.0
5.2,0.0,0.0,23342.0,55989.0,1642.0,29034.0,64456.0,0.0
5.24,0.0,0.0,22865.0,56658.0,2245.0,25282.0,64169.0,0.0
5.28,0.0,0.0,23081.0,57312.0,3142.0,22787.0,64351.0,0.0
5.32,0.0,0.0,23989.0,57966.0,3577.0,20409.0,64527.0,0.0
5.36,0.0,0.0,26510.0,58627.0,3310.0,16865.0,64260.0,0.0
